,Unnamed: 0.1,Unnamed: 0,FILE_NAME,STATES,INPUTS,LSTAR_MQ_SYM,LSTAR_MQ_RST,LSTAR_EQ_SYM,LSTAR_EQ_RST,LSTAR_TOTAL_SYM,LSTAR_TOTAL_RST,LSTAR_EQs,LSTAR_MQs,CLSTAR_MQ_SYM,CLSTAR_MQ_RST,CLSTAR_EQ_SYM,CLSTAR_EQ_RST,CLSTAR_TOTAL_SYM,CLSTAR_TOTAL_RST,CLSTAR_EQs,CLSTAR_COMPONENTS,CLSTAR_ROUNDS,CLSTAR_MQs,CACHE
35,35.0,35.0,36,330,10,4764369,64575,74337,501,4838706,65076,2,71657,43527949,535559,17751226,118304,61279175,653863,525,4,28,722708,True
36,36.0,36.0,37,240,10,5887876,98637,76761,508,5964637,99145,4,109838,18307857,224764,8200194,54694,26508051,279458,261,4,16,307920,True
37,37.0,37.0,38,240,10,7153866,96430,74636,505,7228502,96935,3,107219,21325182,263880,8145509,54303,29470691,318183,265,4,15,352187,True
38,38.0,38.0,39,240,10,2143105,57386,75620,501,2218725,57887,2,63619,10035477,127918,6260202,41766,16295679,169684,207,4,13,178058,True
39,39.0,39.0,40,280,10,3487891,60111,74810,501,3562701,60612,2,66617,16346748,195776,7299717,48655,23646465,244431,236,4,15,261410,True
40,40.0,40.0,41,280,10,3600620,63816,75201,501,3675821,64317,2,70698,17122944,212204,9037160,60173,26160104,272377,271,4,17,291893,True
41,41.0,41.0,42,280,10,2948638,59198,75504,501,3024142,59699,2,65568,23047539,277878,9423205,62677,32470744,340555,319,4,17,376949,True
42,42.0,42.0,43,300,10,3370078,55730,75007,501,3445085,56231,2,61757,13506514,158984,6851996,45643,20358510,204627,241,4,14,225590,True
43,43.0,43.0,44,300,10,2912722,56414,75611,501,2988333,56915,2,62657,13333780,163993,6627529,44126,19961309,208119,234,4,15,229099,True
44,44.0,44.0,45,240,10,2735539,36515,76773,501,2812312,37016,2,40335,37890066,466887,18202748,121283,56092814,588170,539,4,31,634250,True
45,45.0,45.0,46,240,10,1696832,32550,75822,501,1772654,33051,2,36017,20072583,242163,11577597,77190,31650180,319353,341,4,19,340797,True
46,46.0,46.0,47,360,10,1985636,41495,76043,501,2061679,41996,2,45917,35884554,453196,15630875,104292,51515429,557488,508,4,25,634495,True
47,47.0,,48,1080,15,20015860,451624,76220,503,20092080,452127,3,484405,47289280,567123,13856508,92264,61145788,659387,479,5,21,730844,True
48,48.0,,49,1080,15,15049480,405600,74748,501,15124228,406101,2,434875,37483905,465115,10777575,71754,48261480,536869,490,5,21,602772,True
49,49.0,,50,1512,15,12012023,341585,75512,502,12087535,342087,3,366024,47277845,580299,14231625,94825,61509470,675124,533,5,22,760651,True
50,50.0,,51,1680,15,13860221,420309,76686,509,13936907,420818,3,451524,33619492,410064,13996301,93312,47615793,503376,479,5,22,540995,True
51,51.0,,52,1256,15,12992873,504367,75666,503,13068539,504870,3,539663,31716971,385976,14408879,96073,46125850,482049,435,5,23,505474,True
52,52.0,,53,1256,15,12343134,496904,73772,504,12416906,497408,3,531023,31924386,394314,13538606,90214,45462992,484528,473,5,22,524450,True
53,53.0,,54,1620,15,35198199,556913,73859,501,35272058,557414,2,597623,46978704,593883,14138065,94246,61116769,688129,489,5,23,767013,True
54,54.0,,55,2160,15,29476261,825229,74065,501,29550326,825730,2,884141,102063213,1707530,14069136,93788,116132349,1801318,533,5,24,1995636,True
55,55.0,,56,1440,15,28781216,550874,76452,510,28857668,551384,3,589705,35514628,435001,13676486,91254,49191114,526255,507,5,22,585614,True
56,,,57,2448,15,52487041,968268,76132,501,52563173,968769,2,1041627,45354826,557318,12037123,80231,57391949,637549,424,5,20,707305,True
57,,,58,1200,15,11741849,396686,80832,541,11822681,397227,3,424735,47325139,563086,15119692,100763,62444831,663849,527,5,23,715597,True
58,,,59,1200,15,20400037,566306,75414,506,20475451,566812,4,608741,36187553,445091,12183741,81223,48371294,526314,430,5,20,585658,True
