,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,FILE_NAME,STATES,INPUTS,LSTAR_MQ_SYM,LSTAR_MQ_RST,LSTAR_EQ_SYM,LSTAR_EQ_RST,LSTAR_TOTAL_SYM,LSTAR_TOTAL_RST,LSTAR_EQs,LSTAR_MQs,CLSTAR_MQ_SYM,CLSTAR_MQ_RST,CLSTAR_EQ_SYM,CLSTAR_EQ_RST,CLSTAR_TOTAL_SYM,CLSTAR_TOTAL_RST,CLSTAR_EQs,CLSTAR_COMPONENTS,CLSTAR_ROUNDS,CLSTAR_MQs,CACHE
111,111,111,111,111,111,111,111,27,27,27.0,27.0,27.0,27.0,27.0,27.0,27.0,10,7992,21,183406382,4138900,74824,502,-305566150,25136412,3,4351969,46422281,551531,10848655,72278,535438424,3919045,512,6,29,698745,True
112,112,112,112,112,112,112,112,28,28,28.0,28.0,28.0,28.0,28.0,28.0,28.0,10,7992,21,117000456,3910102,75566,503,-238706526,35695445,3,4108136,38405640,502239,11800405,78798,431648360,1462074,495,6,30,639601,True
113,113,113,113,113,113,113,113,29,29,29.0,29.0,29.0,29.0,29.0,29.0,29.0,10,7992,21,159852447,3694042,74944,501,-430007201,22567258,2,3883519,41996753,515228,10182392,67782,14358290,4781070,479,6,29,658425,True
114,114,114,114,114,114,114,114,30,30,30.0,30.0,30.0,30.0,30.0,30.0,30.0,11,8405,21,98154496,2053384,75822,502,2785842544,14577202,3,2163453,34257022,414865,7931152,52780,54376348,2538225,425,6,25,528448,True
115,115,115,115,115,115,115,115,31,31,31.0,31.0,31.0,31.0,31.0,31.0,31.0,11,8405,21,127301037,2131695,75826,502,-462557729,4964394,3,2250604,32586539,399253,7521229,50232,360969912,2497940,397,6,24,505232,True
116,116,116,116,116,116,116,116,32,32,32.0,32.0,32.0,32.0,32.0,32.0,32.0,11,8405,21,69369450,2073631,75599,502,1208335147,18867197,3,2186301,26511354,332950,6194199,41280,28116659,1796920,365,6,22,419867,True
117,117,117,117,117,117,117,117,33,33,33.0,33.0,33.0,33.0,33.0,33.0,33.0,12,4616,21,143381749,3011198,75164,503,991946530,6723402,3,3160197,43565408,528809,10991265,73262,238226692,2006213,477,6,29,660942,True
118,118,118,118,118,118,118,118,34,34,34.0,34.0,34.0,34.0,34.0,34.0,34.0,12,4616,21,133437924,2875648,75962,502,-1161453410,6052300,3,3020671,42815104,525314,11292303,75274,296429628,3802940,506,6,31,664870,True
119,119,119,119,119,119,119,119,35,35,35.0,35.0,35.0,35.0,35.0,35.0,35.0,12,4616,21,141303053,2855686,75195,504,-307178096,17437140,3,2993791,42616212,528486,12124514,80803,402666534,2837156,534,6,31,677895,True
120,120,120,120,120,120,120,120,126,126,126.0,126.0,126.0,,,,,43,26714,21,921537050,20795587,75414,506,5313095024,62488279,3,21936639,47582310,586732,11309002,75309,205565248,6758369,497,6,30,748503,True
